Employee ID,Training Program Name,Training Date,Training Duration,training_hours,Training Type,Training Outcome,Department,Job Title,Supervisor,Location,Trainer,Training Cost
1270,Customer Service,2022-12-12,3,24,Internal,Incomplete,Finance,Manager,Emily Solomon,Tuckerstad,Paul Patel,340.31
1871,Email Management,2022-11-21,2,16,External,Completed,HR,Manager,Jerry Brown,Thomaschester,Alexander Davies,571.58
2907,Data Visualization Training,2023-01-19,4,32,External,Completed,HR,Manager,Susan Sanchez,Amandatown,David Kim,993.79
1047,Email Management,2023-09-22,1,8,Internal,Failed,Operations,Representative,Ashlee Mendez MD,New Elizabeth,Diane King,591.2
1792,Project Management,2023-05-30,1,8,Internal,Completed,IT,Representative,Kathryn Ortiz,Michaeltown,James Fritz,251.76
2132,Development,2023-07-16,4,32,External,Incomplete,IT,Representative,Paul Johnson DDS,Benjaminfurt,James Russell,226.45
1830,Technical Skills,2023-08-13,2,16,Internal,Completed,Marketing,Specialist,Robert Moss,Weavermouth,Robin Thomas,794.66
2911,Communication Skills,2022-12-05,1,8,External,Completed,IT,Specialist,Charles Taylor,Michelleville,Stephanie Bradford,915.81
2961,Project Management,2023-03-30,3,24,Internal,Failed,Sales,Analyst,Vincent Anderson,Nicholemouth,Karen Phillips,586.35
1420,Customer Service,2023-05-30,3,24,Internal,Completed,HR,Representative,Edwin Robinson,New Garybury,Isaiah Carter,989.61
1426,Project Management,2023-01-01,3,24,Internal,Incomplete,Finance,Analyst,Juan Solis,Byrdtown,Kevin Palmer,726.81
1554,Leadership Development,2023-09-09,3,24,External,Failed,Operations,Representative,Elijah Gray,New Kyletown,Richard Shah III,751.79
2163,Communication Skills,2023-01-07,3,24,Internal,Completed,HR,Engineer,Joan Hill,West Juliafort,Brianna Henry,898.3
2436,Technical Skills,2022-12-02,5,40,Internal,Completed,IT,Engineer,James Wilson,Kyleville,Dr. Nathan Perry,593.84
1672,Power BI,2023-05-24,3,24,Internal,Completed,HR,Representative,Amanda Anthony,Chelseyton,Frank Hughes,757.44
2935,Customer Service,2023-08-09,3,24,Internal,Completed,Sales,Analyst,Savannah Smith,Johntown,George Fleming,954.82
1872,"Work,Health & Safety",2023-08-23,3,24,Internal,Failed,Marketing,Engineer,Keith Pearson Jr.,Danaton,Audrey Vaughn,603.29
1684,Development,2023-04-17,5,40,Internal,Completed,Marketing,Engineer,Dr. Kenneth Moreno,South Kimberlyshire,Kendra Jenkins,247.92
1693,Communication Skills,2023-05-16,3,24,External,Failed,IT,Engineer,Michael Banks,South Meganport,Peter Watson,587.13
1328,"Work,Health & Safety",2023-06-08,1,8,External,Failed,Finance,Engineer,Katrina Smith,Alexaville,Eric Torres,327.23
1890,Development,2023-05-10,4,32,Internal,Completed,Operations,Analyst,Bethany Parker,New Stephanie,John Parker,819.4
1433,Conflict Management,2022-11-02,5,40,External,Failed,Operations,Manager,Victor Johnston,Port James,Michael Arnold,339.42
2377,Customer Service,2023-02-14,4,32,External,Completed,Operations,Engineer,Taylor Reid,New Donald,Laura Deleon,962.49
1662,Advanced Presentation Skills,2023-06-21,5,40,Internal,Completed,Operations,Analyst,Ashley Morris,East Kathleenberg,Emily Spencer,311.53
1096,Customer Service,2023-08-12,2,16,Internal,Completed,Operations,Engineer,Veronica Hickman,Zamoratown,Diana Meza,756.75
2383,Project Management,2023-07-10,5,40,External,Completed,Marketing,Manager,Alex Hickman,Timothyfort,Megan Parker,972.28
1073,Power BI,2023-04-24,2,16,Internal,Passed,Sales,Engineer,Amanda Herrera,South Samuel,Wayne Taylor,459.22
1951,Technical Skills,2023-05-10,3,24,Internal,Completed,Operations,Analyst,Mitchell Oneal,New Angelicaburgh,Anna Brown,784.09
1399,Leadership Development,2023-02-07,1,8,Internal,Passed,Operations,Representative,Amanda Peterson,Jacobburgh,Dennis Moore,938.91
2782,Email Management,2023-01-16,4,32,External,Completed,Finance,Manager,Larry Hall,South Kayla,Jason Ramirez,927.24
2988,Power BI,2023-02-04,2,16,Internal,Completed,Operations,Manager,Michael Hale,South Kevinview,April Osborne,303.19
2203,Project Management,2023-04-14,2,16,Internal,Failed,Finance,Engineer,Sarah Fisher,Port Kelly,Tiffany Levine,625.67
1869,Customer Service,2023-05-23,3,24,Internal,Incomplete,Sales,Analyst,Martha Keller,New Justin,Michael Blake,341.95
2767,Conflict Management,2022-10-08,1,8,Internal,Completed,Operations,Specialist,Karen Hines,Port Emily,Donna Brown,668.84
2258,Project Management,2023-05-16,4,32,Internal,Completed,HR,Specialist,John White,Steeleview,Michael Davis,345.44
1179,"Work,Health & Safety",2023-07-29,4,32,External,Completed,Finance,Specialist,Brandon Ruiz,Hughesland,Angela Murray,880.63
2334,Technical Skills,2023-03-30,4,32,Internal,Passed,Operations,Analyst,John Brown,Simsshire,Jasmine Lucero,656.36
2513,Email Management,2023-02-15,1,8,External,Passed,Finance,Representative,April Fox,Phillipshaven,Kristen Gonzalez,421.44
2642,Communication Skills,2023-03-22,5,40,External,Incomplete,IT,Analyst,Carrie Erickson,Glennmouth,Joseph Evans,312.55
1013,Advanced Presentation Skills,2022-10-02,2,16,Internal,Passed,Operations,Analyst,Taylor Robinson,South Chelseashire,Kenneth Carter,512.1
1642,Customer Service,2023-03-23,5,40,Internal,Failed,Sales,Representative,Luis Weaver,Lake Julie,Keith Garcia,472.89
1534,Technical Skills,2023-02-20,5,40,External,Completed,Finance,Analyst,Alexander Nash,Daniellemouth,Jay Price,368.98
1599,Email Management,2022-12-19,3,24,External,Incomplete,Sales,Analyst,Terry Jones,West Maria,Joseph Knapp,104.77
1089,Technical Skills,2022-12-22,3,24,External,Completed,Marketing,Analyst,Larry Butler,West Jamesburgh,Victoria Moore,493.05
1928,Power BI,2023-08-29,3,24,External,Passed,HR,Representative,Charles Smith,Mullinsburgh,Randy Frey,427.02
2485,Communication Skills,2023-08-18,2,16,External,Completed,Sales,Representative,Bobby Cox,East Isaacfurt,Kimberly Taylor,448.56
1988,Project Management,2022-11-14,1,8,External,Completed,Finance,Engineer,Jacob Henry,Amymouth,Joshua Hernandez,101.63
1902,"Work,Health & Safety",2023-06-27,2,16,External,Completed,Finance,Manager,Christopher Brown,North Douglas,Kim Watkins,491.39
1544,Leadership Development,2023-06-12,1,8,Internal,Failed,HR,Engineer,Aaron Harrison,East Teresaberg,Maria Callahan,480.02
2356,Email Management,2023-03-12,4,32,External,Completed,Finance,Representative,Courtney Wolf,Davidberg,Sheila Thomas,162.03
2723,Advanced Presentation Skills,2022-11-03,3,24,Internal,Completed,Operations,Analyst,Crystal Boyd,Lake Aaron,Mrs. Lisa Callahan,493.25
2686,Product Training,2022-12-09,4,32,Internal,Completed,IT,Manager,Mr. Matthew Brock,Ortegastad,Monica Smith,975.79
1578,Technical Skills,2022-12-25,1,8,External,Completed,Finance,Analyst,Elizabeth Estrada,Brooksmouth,Kimberly Mccullough,606.53
2120,Customer Service,2023-04-10,4,32,Internal,Incomplete,IT,Manager,Amy Jensen,Dawnton,Brian Burke,819.1
1201,Leadership Development,2023-07-24,3,24,Internal,Failed,Operations,Specialist,Lisa Smith,Marvinberg,Roberto Flynn,609.72
2815,Data Visualization Training,2022-11-30,5,40,Internal,Completed,Marketing,Engineer,Ashley Sanchez,Port Danielview,Darrell Glass,748.11
2534,Product Training,2023-06-01,4,32,Internal,Incomplete,Operations,Analyst,Robert Holmes,Lake Johnview,Amanda Reeves,228.63
2941,"Work,Health & Safety",2023-06-26,2,16,External,Completed,IT,Specialist,Anthony Alvarez,Mitchellview,Michael King,288.34
1956,Conflict Management,2023-01-12,2,16,External,Passed,Sales,Representative,Cathy Barber,West Matthewchester,Kari Wong,892.93
2640,"Work,Health & Safety",2023-09-07,5,40,External,Failed,Operations,Representative,Bruce Thompson,Hansenhaven,Emily Moreno,715.93
2240,Development,2023-09-03,5,40,Internal,Incomplete,Sales,Engineer,Beth Ware,Youngshire,Tina Medina,611.64
1225,Project Management,2023-01-10,5,40,External,Failed,Finance,Representative,Jennifer Dunlap,Johnsonland,Jennifer Ellis,228.39
2927,"Work,Health & Safety",2023-03-18,1,8,External,Passed,Finance,Analyst,Eric Boyle,Jamestown,Anthony Gomez,917.9
2153,Email Management,2023-09-26,1,8,Internal,Incomplete,Finance,Engineer,Amanda Evans,Leeport,Karen Burns,979.53
2548,Advanced Presentation Skills,2023-06-10,4,32,Internal,Completed,IT,Engineer,Karen Adams,South Robertmouth,Pamela Huber,310.92
1541,Email Management,2023-08-23,5,40,Internal,Passed,Marketing,Manager,Anna Rivers,Weberberg,Alexa Burton,124.39
2162,Communication Skills,2022-10-14,3,24,Internal,Completed,Sales,Analyst,Heather Petersen,South Jerome,Julia Hughes,930.68
2672,Data Visualization Training,2023-06-30,2,16,External,Passed,Marketing,Manager,Aaron Bates,East Brad,Jessica Figueroa,303.0
1830,Technical Skills,2022-12-27,4,32,External,Incomplete,HR,Manager,Rebecca Becker,Ashleyport,Kyle Garza,745.98
2260,Data Visualization Training,2023-03-05,4,32,Internal,Incomplete,IT,Manager,George Hanson,Lake Tyler,William Nelson,673.47
2710,Leadership Development,2023-04-12,3,24,Internal,Completed,Sales,Representative,David Moore,Ginashire,Tonya Copeland,518.52
2993,Communication Skills,2022-12-09,4,32,External,Failed,Marketing,Manager,Kelsey Ward,Delgadoport,Christina Williams,532.1
1582,Leadership Development,2023-01-05,3,24,External,Incomplete,Finance,Representative,William Strickland DDS,West Christopher,Amber Bell,518.85
2578,Power BI,2023-04-21,3,24,External,Failed,IT,Manager,Anita Lee,South Jessica,Mercedes Bush,575.44
1928,Data Visualization Training,2023-05-23,5,40,External,Failed,IT,Representative,Kimberly Madden,Courtneytown,Matthew Hughes,440.56
1198,Communication Skills,2023-08-25,4,32,External,Completed,Finance,Specialist,Jeffrey Murphy,Deanmouth,Barbara Ross,141.3
2060,Project Management,2023-04-21,2,16,Internal,Incomplete,Marketing,Specialist,Timothy White,Port Aliciaborough,David Boyd,905.86
1394,Technical Skills,2022-11-09,5,40,Internal,Failed,IT,Representative,April Padilla,Annachester,Ronald Howard,642.85
2347,Communication Skills,2023-02-19,1,8,Internal,Completed,Sales,Engineer,Mary Myers,Allisonmouth,Melissa Perez,174.74
1635,Leadership Development,2022-12-06,1,8,External,Failed,Finance,Specialist,Julie Garza,Danielport,Brian James,563.63
2569,Email Management,2022-12-19,5,40,External,Incomplete,IT,Representative,Christy Green,Lake Timothy,Anita Fisher,240.62
1571,Customer Service,2023-02-22,4,32,External,Failed,Sales,Analyst,Angela Lee,East Hannahshire,Michael Olson,116.89
1892,Customer Service,2022-11-30,1,8,External,Completed,IT,Specialist,Brian Smith,New Carlosview,Lisa Malone,794.2
2818,"Work,Health & Safety",2022-10-21,2,16,Internal,Passed,IT,Representative,William Johnson,Port Wayneburgh,Kimberly Griffith,416.73
1791,Development,2022-11-19,5,40,Internal,Passed,IT,Engineer,Jessica Crane,West Robertachester,Erika Henson,561.12
2374,Power BI,2023-03-09,2,16,External,Failed,Sales,Analyst,Crystal Taylor,West Brian,Lee Lewis,648.15
2659,Development,2023-09-30,5,40,Internal,Completed,Marketing,Analyst,Brenda Castillo,Port Angela,Kathleen Clark,126.3
2320,Development,2022-10-03,5,40,External,Failed,Sales,Engineer,Adam Barrera,Coreymouth,Elizabeth Wilson,806.84
1132,Product Training,2023-09-24,2,16,Internal,Failed,HR,Representative,Amy White,West Jamesport,Noah Rogers,351.54
1070,Development,2023-03-28,4,32,Internal,Failed,IT,Representative,Nicholas Jackson,South Davidside,Randy Hatfield,508.78
1126,Data Visualization Training,2023-05-10,5,40,External,Completed,IT,Manager,Christine Woodard,North Erin,Pamela Leblanc,937.41
2407,Customer Service,2023-08-15,5,40,Internal,Failed,HR,Analyst,Marc Herring,New Tyler,Sara Alvarez,126.78
1479,Communication Skills,2023-02-06,3,24,External,Failed,Sales,Analyst,Andrew Cooper,West Brittany,Benjamin Evans,641.68
1937,Leadership Development,2022-10-09,1,8,External,Completed,HR,Manager,Michael Hicks,North Ronald,Mary Wright,190.86
2146,"Work,Health & Safety",2022-10-09,2,16,External,Passed,Marketing,Representative,Justin Lewis,Thomasborough,Joseph Brooks,294.74
2945,Advanced Presentation Skills,2022-12-30,2,16,External,Passed,HR,Specialist,Heather Hernandez,New Kelsey,Heather Anderson,204.36
2857,Power BI,2023-07-04,2,16,Internal,Passed,HR,Analyst,Ian Wilson,Lake Jennifer,Shannon Travis,200.79
2856,Data Visualization Training,2023-01-10,2,16,Internal,Incomplete,Marketing,Manager,Carolyn Hernandez,Rachelton,Chelsea Graham,122.16
1459,Leadership Development,2023-04-26,2,16,External,Completed,Sales,Manager,Jason Hayes,Simmonstown,Frank Hart,141.34
1814,Data Visualization Training,2022-10-24,2,16,Internal,Passed,IT,Representative,Randy Henry,Krauseborough,Mr. James Hernandez,281.38
2816,Customer Service,2023-06-15,3,24,Internal,Failed,IT,Analyst,Erin Moore,Grahamfort,Emily Elliott,143.5
1803,Project Management,2023-03-26,1,8,External,Passed,Finance,Manager,Mark Ingram,Evansshire,Cassandra Smith,611.64
2002,Product Training,2023-01-05,3,24,External,Failed,Operations,Manager,Michael Jones,Gregoryshire,Sarah Drake,516.83
2139,Technical Skills,2023-04-03,3,24,Internal,Incomplete,HR,Analyst,Anita Morales,Jennifertown,Bryan Jones,528.33
1367,Advanced Presentation Skills,2023-08-17,2,16,Internal,Passed,Sales,Engineer,Tiffany Young,New Carolynstad,Charles Taylor,238.73
2920,"Work,Health & Safety",2023-05-22,3,24,External,Failed,IT,Analyst,Laura Ruiz,Lutzborough,Devin Pierce,641.98
1832,Product Training,2023-01-31,3,24,External,Completed,Marketing,Manager,Shane Moran,Port Brenthaven,James Cole,138.6
1352,Communication Skills,2023-04-02,2,16,External,Failed,IT,Engineer,Shannon Kennedy,West Christopherstad,Stacy Flores,834.68
1219,Conflict Management,2023-05-19,4,32,Internal,Completed,IT,Analyst,Larry Gibson,Amyfurt,Rebekah Love,228.88
2323,Power BI,2022-10-12,5,40,External,Failed,Operations,Manager,Kayla Herman,South Scott,Kim Becker,911.26
1993,Advanced Presentation Skills,2023-03-30,2,16,Internal,Failed,Finance,Engineer,William Lopez,Lake Williamberg,Bridget Foley,310.29
2831,Technical Skills,2023-03-20,2,16,External,Passed,Finance,Specialist,Debra Clarke,Kennethfort,John Cross,985.6
1061,Product Training,2023-08-08,1,8,Internal,Passed,Operations,Engineer,Nicholas Deleon,Lake Tammyside,Amanda Kim,619.16
1329,Leadership Development,2023-02-03,1,8,Internal,Completed,Marketing,Representative,Gregory Collins,North Ronnieside,Jo James MD,418.01
1022,Power BI,2023-08-07,4,32,Internal,Incomplete,HR,Representative,Dawn Burnett,Barronville,Barbara Dodson,357.75
1987,Customer Service,2023-07-12,4,32,External,Completed,IT,Representative,Javier Taylor,Gilbertland,Christine Ortiz,312.03
1529,Communication Skills,2023-09-29,2,16,External,Passed,IT,Representative,Cynthia Riddle,Courtneymouth,Lisa Powell,228.77
1675,Project Management,2023-03-01,3,24,Internal,Completed,Operations,Engineer,Caroline Dyer,Andreaville,Shannon Martin,446.36
1872,Advanced Presentation Skills,2023-07-05,4,32,External,Completed,Sales,Analyst,Lori Barber,Port Derekmouth,Jamie Velez,586.53
1695,Development,2022-12-29,5,40,External,Completed,IT,Engineer,Ryan Phillips,Marquezfort,Rebecca Foster,811.06
2322,Customer Service,2023-03-10,1,8,External,Completed,IT,Specialist,Matthew Lane,Arthurchester,Matthew Myers,471.7
2451,Development,2023-07-31,3,24,Internal,Completed,Marketing,Analyst,Melanie Morales,West Cheryl,Brian Chung,187.59
2333,Development,2022-11-21,4,32,Internal,Completed,Sales,Analyst,Charles Payne,Barneschester,Anthony Foster,246.82
2399,Power BI,2023-07-11,4,32,Internal,Passed,Finance,Engineer,Caroline Johnson,Lake Davidmouth,Kim Smith,428.0
2039,Communication Skills,2022-10-24,2,16,External,Failed,Finance,Analyst,Danielle Deleon,New Lauraton,Christopher Cantu,880.53
2339,Project Management,2023-07-04,5,40,Internal,Failed,Operations,Manager,Andrew Burton,East Kevinmouth,Amber Williams,905.02
1054,Leadership Development,2023-06-24,4,32,Internal,Completed,Finance,Representative,John Horne,New Daniel,Kelli Bowen,200.21
1848,Advanced Presentation Skills,2023-01-14,3,24,External,Failed,Marketing,Engineer,Eddie Davis,Christybury,Karla Silva,297.1
1853,Conflict Management,2022-11-22,3,24,External,Failed,Marketing,Manager,Kara Kim,Jacksonstad,Alexandra Hernandez,623.33
2013,Advanced Presentation Skills,2023-01-05,5,40,Internal,Failed,Marketing,Manager,Janet Schwartz,Port Roberta,Michael Oliver,341.17
1044,Advanced Presentation Skills,2022-12-11,2,16,External,Failed,Marketing,Representative,Melissa Ramos,Brownchester,Sharon Castaneda,944.8
1381,Email Management,2023-07-27,3,24,Internal,Completed,Marketing,Manager,Mark Simpson,Port Karenberg,Cathy Mathis,978.83
2474,Product Training,2022-10-08,1,8,Internal,Failed,Marketing,Analyst,Daniel Adams,Alexandrahaven,Barbara Green,948.98
2629,Advanced Presentation Skills,2023-08-05,5,40,External,Completed,Sales,Manager,Billy Michael,Trevinobury,Ronald Jones,866.63
2148,Conflict Management,2023-02-21,1,8,Internal,Completed,Finance,Analyst,Tommy Heath,New Beverlyport,Brett Grant,405.25
2418,Product Training,2023-01-30,5,40,External,Failed,Operations,Manager,Adrian Brown,Lyonsstad,Robert Hunt,194.56
2385,"Work,Health & Safety",2023-04-28,5,40,External,Completed,HR,Specialist,Michael Campbell,Amyhaven,Donna Baker,315.31
2075,Leadership Development,2022-12-01,4,32,Internal,Completed,HR,Specialist,Colin Adams,Carrside,Joan Ramos,928.12
2383,Communication Skills,2022-10-11,5,40,External,Failed,IT,Analyst,Lisa Williams,Port Codychester,James Powers,624.17
2565,Conflict Management,2023-05-09,5,40,Internal,Passed,Finance,Manager,Julie Marshall DDS,East Mollyberg,Douglas Butler DDS,932.72
2563,Development,2023-03-06,5,40,External,Passed,Finance,Specialist,Jacob Stevens,Lake Glennberg,Michael Adkins III,419.36
1840,Development,2022-11-15,4,32,External,Completed,IT,Specialist,Stuart Reyes,North Devin,Manuel Miller,628.1
1132,"Work,Health & Safety",2023-06-19,5,40,External,Failed,Sales,Representative,Katherine Bender,Reneechester,Cynthia Graham,121.48
2122,Conflict Management,2023-05-19,3,24,External,Incomplete,Marketing,Engineer,Brianna Smith,Bentonside,Amy Gould,181.41
2993,Power BI,2022-12-13,3,24,External,Passed,Operations,Specialist,Kenneth Zamora,West Paige,Valerie Wood,704.26
1495,Project Management,2023-08-25,5,40,External,Completed,Operations,Manager,Kim Yoder,Heatherton,Jamie Murray,924.7
1805,Leadership Development,2022-10-05,3,24,External,Failed,Sales,Manager,Jeffrey Pratt,Wendyfurt,Dr. Doris Rhodes DDS,507.82
2388,Conflict Management,2023-04-26,5,40,External,Incomplete,Marketing,Representative,James Grant,North Amandamouth,Renee Brooks,864.42
2928,Email Management,2023-08-02,1,8,External,Completed,Operations,Specialist,Thomas Pruitt,South Meganville,Peter Mcgrath,995.38
1385,Power BI,2022-10-14,2,16,External,Incomplete,Sales,Specialist,Mark Jordan,Port Angelaborough,Richard Bird,154.83
1773,Email Management,2023-04-01,1,8,External,Incomplete,Sales,Representative,Mitchell Collins,Jenniferland,Robert Mills,385.69
2735,Development,2023-06-08,2,16,Internal,Incomplete,HR,Analyst,Chelsey Andrews,North Gregorymouth,Greg Heath,408.03
1584,Product Training,2023-04-24,1,8,Internal,Incomplete,Marketing,Engineer,William Chavez,South Chelseafurt,Peggy Baxter,205.24
1692,"Work,Health & Safety",2023-01-24,4,32,External,Failed,Finance,Engineer,Adam Roach,East Jeremy,Mr. Tyler Moody,819.16
